Feature,Primary_Mean,External_Mean,Primary_Std,External_Std,Mean_Shift_StdUnits,Primary_Q05,External_Q05,Primary_Q95,External_Q95
pressure,1015.0105958582137,0.0,9.630281096143023,0.0,105.39781607821737,998.0,0.0,1030.0,0.0
humidity,80.11782492694702,0.0,15.383912526717987,0.0,5.207896546642124,49.0,0.0,98.0,0.0
daylength,742.7300215982722,0.0,195.18823670293813,0.0,3.805198684820574,450.0,0.0,1020.0,0.0
weather_type,3.190547579723034,0.0,1.3013729358025046,0.0,2.4516781389063333,1.0,0.0,5.0,0.0
wind_speed,3.9508448735865835,0.0,1.7928684867571252,0.0,2.203644550933617,1.5,0.0,7.3,0.0
clouds_all,65.63303265150553,0.0,36.93427060856625,0.0,1.7770225746520114,0.0,0.0,100.0,0.0
temp,9.426306695464362,0.0,7.9298059730687225,0.0,1.1887184536783562,-1.8,0.0,23.0,0.0
issun,0.5158620251556346,0.0,0.4997499201378334,0.0,1.0322403332873311,0.0,0.0,1.0,0.0
sunlighttime_daylength,0.2631305424977767,0.0,0.3285864872044821,0.0,0.8007953824748519,0.0,0.0,0.91,0.0
sunlighttime,208.6750412908144,0.0,271.98977134159884,0.0,0.7672165032558041,0.0,0.0,780.0,0.0
ghi,31.90383242281794,0.0,51.720198209051894,0.0,0.6168544113703219,0.0,0.0,155.8,0.0
rain_1h,0.06669266929233897,0.0,0.27713107784786706,0.0,0.24065387963560142,0.0,0.0,0.41,0.0
hour,11.498793037733451,12.685460084135197,6.9218015771098065,3.7887504034389514,0.17143904415789382,1.0,7.0,22.0,19.0
snow_1h,0.0077675009528649485,0.0,0.07239408568876012,0.0,0.10729468811809637,0.0,0.0,0.0,0.0
month,6.208436030999873,5.95498283448576,3.4250793262437207,3.7149014370856235,0.07399921937518318,1.0,1.0,12.0,12.0
dayofyear,173.50402744251048,165.90696774817465,104.67112565737257,113.67590193989054,0.07258028082291998,18.0,12.0,345.0,348.0
